title,description,label
Smart Autonomous Delivery using IoT,"Design and prototype an IoT system for monitoring autonomous delivery using sensors, microcontrollers and cloud services for data logging and remote control.",IoT
AR-based Document Summarization Visualization,Create an immersive AR/VR experience to visualize or simulate document summarization for training and interactive exploration.,Mobile
Waste Management Detection using CNNs,This project develops an AI model to waste management by training deep neural networks on relevant datasets and evaluating performance on accuracy and robustness metrics.,AI
Marketplace for Attendance,"Build a web platform that enables users to manage and interact with attendance data, featuring authentication, dashboards, and real-time updates.",Web
Remote Supply Chain Control via MQTT,"Design and prototype an IoT system for monitoring supply chain using sensors, microcontrollers and cloud services for data logging and remote control.",IoT
Predictive Model for Elderly Care,A data-driven project that collects and analyses elderly care data to build predictive models and visualizations to guide stakeholders' decisions.,Data Science
AR-based Deepfake Detection Visualization,Create an immersive AR/VR experience to visualize or simulate deepfake detection for training and interactive exploration.,Mobile
Customer Churn Chatbot with NLP,"Build an NLP system to process customer churn text, performing classification, summarization or conversational tasks.",AI
Energy Trading Analysis and Prediction System,A data-driven project that collects and analyses energy trading data to build predictive models and visualizations to guide stakeholders' decisions.,Data Science
AR-based Water Quality Visualization,Create an immersive AR/VR experience to visualize or simulate water quality for training and interactive exploration.,Mobile
Healthcare Analysis and Prediction System,A data-driven project that collects and analyses healthcare data to build predictive models and visualizations to guide stakeholders' decisions.,Data Science
IoT-based Healthcare Monitoring System,"Design and prototype an IoT system for monitoring healthcare using sensors, microcontrollers and cloud services for data logging and remote control.",IoT
Text Classification for Air Quality,"Build an NLP system to process air quality text, performing classification, summarization or conversational tasks.",AI
Remote Document Summarization Control via MQTT,"Design and prototype an IoT system for monitoring document summarization using sensors, microcontrollers and cloud services for data logging and remote control.",IoT
Marketplace for Parking,"Build a web platform that enables users to manage and interact with parking data, featuring authentication, dashboards, and real-time updates.",Web
Text Classification for Plant Disease,"Build an NLP system to process plant disease text, performing classification, summarization or conversational tasks.",AI
Data-driven Sentiment Recommendation Engine,A data-driven project that collects and analyses sentiment data to build predictive models and visualizations to guide stakeholders' decisions.,Data Science
Drone Navigation Analysis and Prediction System,A data-driven project that collects and analyses drone navigation data to build predictive models and visualizations to guide stakeholders' decisions.,Data Science
Student Performance Chatbot with NLP,"Build an NLP system to process student performance text, performing classification, summarization or conversational tasks.",AI
Remote Resume Parsing Control via MQTT,"Design and prototype an IoT system for monitoring resume parsing using sensors, microcontrollers and cloud services for data logging and remote control.",IoT
AR-based Sentiment Visualization,Create an immersive AR/VR experience to visualize or simulate sentiment for training and interactive exploration.,Mobile
Remote Crowd Counting Control via MQTT,"Design and prototype an IoT system for monitoring crowd counting using sensors, microcontrollers and cloud services for data logging and remote control.",IoT
Text Classification for Retail Sales,"Build an NLP system to process retail sales text, performing classification, summarization or conversational tasks.",AI
VR Training Simulator for Language Learning,Create an immersive AR/VR experience to visualize or simulate language learning for training and interactive exploration.,Mobile
AI-powered Language Learning Predictor,This project develops an AI model to language learning by training deep neural networks on relevant datasets and evaluating performance on accuracy and robustness metrics.,AI
Smart Customer Churn using Deep Learning,This project develops an AI model to customer churn by training deep neural networks on relevant datasets and evaluating performance on accuracy and robustness metrics.,AI
Time Series Forecasting Analysis and Prediction System,A data-driven project that collects and analyses time series forecasting data to build predictive models and visualizations to guide stakeholders' decisions.,Data Science
Data-driven Supply Chain Recommendation Engine,A data-driven project that collects and analyses supply chain data to build predictive models and visualizations to guide stakeholders' decisions.,Data Science
Traffic Sign Platform with Real-time Features,"Build a web platform that enables users to manage and interact with traffic sign data, featuring authentication, dashboards, and real-time updates.",Web
IoT-based Sign Language Monitoring System,"Design and prototype an IoT system for monitoring sign language using sensors, microcontrollers and cloud services for data logging and remote control.",IoT
Drone Navigation Platform with Real-time Features,"Build a web platform that enables users to manage and interact with drone navigation data, featuring authentication, dashboards, and real-time updates.",Web
VR Training Simulator for Medical Imaging,Create an immersive AR/VR experience to visualize or simulate medical imaging for training and interactive exploration.,Mobile
Text Classification for Parking Slot Detection,"Build an NLP system to process parking slot detection text, performing classification, summarization or conversational tasks.",AI
Text Classification for Deepfake Detection,"Build an NLP system to process deepfake detection text, performing classification, summarization or conversational tasks.",AI
Traffic Analysis and Prediction System,A data-driven project that collects and analyses traffic data to build predictive models and visualizations to guide stakeholders' decisions.,Data Science
VR Training Simulator for License Plate,Create an immersive AR/VR experience to visualize or simulate license plate for training and interactive exploration.,Mobile
Smart Face Mask Detection using IoT,"Design and prototype an IoT system for monitoring face mask detection using sensors, microcontrollers and cloud services for data logging and remote control.",IoT
Data-driven Retail Sales Recommendation Engine,A data-driven project that collects and analyses retail sales data to build predictive models and visualizations to guide stakeholders' decisions.,Data Science
Marketplace for Supply Chain,"Build a web platform that enables users to manage and interact with supply chain data, featuring authentication, dashboards, and real-time updates.",Web
Smart Weather using IoT,"Design and prototype an IoT system for monitoring weather using sensors, microcontrollers and cloud services for data logging and remote control.",IoT
Marketplace for Remote Monitoring,"Build a web platform that enables users to manage and interact with remote monitoring data, featuring authentication, dashboards, and real-time updates.",Web
CryptocurrencyPrediction,Predict Cryptocurrency Price with Deep Learning,AI
Gesture-Controlled-Virtual-Mouse,"Virtually controlling computer using hand-gestures and voice commands. Using MediaPipe, OpenCV Python.",AI
Finding-missing-person-using-AI,The project focuses on Tracking missing people. We are using Image processing and Machine learning along with Postgres Database.,AI
Health-Care-Chatbot,It is a medical chatbot that will provide quick answers to FAQs by setting up rule-based keyword chatbots.,AI
Recipe-Generation-from-Food-Image,"An Application for Generating a cooking recipe consist of title, ingredients and instructions from an food image using Deep Learning.",AI
Ecommerce-Website,"Final Year Project for students as Ecommerce website especially different webpages. Top class Website Development project that made by combination of front end programming languages such as HTML, CSS & JS.",Mobile
Live-Chatbot-for-Final-Year-Project,Chatbot system for Final Year Project. Chatbot made in Python using Natural Language Toolkit especially Machine Learning. Easy to Understand and Implement.,AI
dl_accelerator,Deep Learning Accelerator Based on Eyeriss V2 Architecture with custom RISC-V extended instructions,AI
Fake-News-Detection-Project,"Final Year Fake News Detection using Machine learning Project with  Report, PPT, Code, Research Paper, Documents and Video Explanation.",AI
uMe,Online Chatting Application (Android) || Messaging App || Firebase,Mobile
online-course-registration-,"online course registration by using html,css,js,and php and final year and engineering project - for demo",Mobile
MALWARE-DETECTION-FINAL-YEAR-PROJECT,"Final Year Malware Detection Project with PPT, Research Paper, code and Synopsis. Malware detection project by Machine Learning ALgorithms.",AI
project-defude,Refocus an image just by clicking on it with no additional data,AI
Final-Year-Machine-Learning-Stock-Price-Prediction-Project,Final Year B.tech Project on Machine Learning Stock Prediction through Deep Learning,AI
marvin,Web app to automatically generate subjective or an objective test and evaluate user responses without any human intervention in an efficient and automatic manner using machine learning and natural language processing.,AI
Ai-Healthcare-Chatbot,see live demo of chatbot. follow the link,AI
diabetic-retinopathy,A Django application developped for classification of a diabetes complication that affects eyes,Mobile
Final-Year-Disease-Prediction-Project,Final Year Project Diseases Prediction System through Machine Learning. Disease Prediction system with code and documents,AI
Network-Intrusion-Detection-Project,Network Intrusion Detection System Project using Machine Learning with code and Documents,AI
100-AI-Machine-learning-Deep-learning-Computer-vision-NLP,100+  AI Machine learning Deep learning Computer vision NLP Projects with code,AI
FaceMask-Detection-using-Deeplearning,"A python tool to detect if a person is wearing a mask or not in real-time using deep learning techniques. It works with images, videos, and real-time videos as well.",AI
Data-Duplication-Removal-using-Machine-Learning,Final Year Project as Deletion of Duplicated data using Machine learning project with source code and Report.,AI
PostGraduation,University management platform dedicated for post-graduation in computer science field using django rest framework.,Mobile
Blasa.v2,blasa ride-sharing android app with firebase,Mobile
Google-Stock-Price-Prediction-by-Deep-Learning,Top Class Stock Price Prediction Project through Machine Learning Algorithms for Google. Easy Understanding and Implementation. B.tech Final Year College Project.,AI
Image-Security-by-Triple-DES-Final-Year-Project,B.tech Cryptogaphy Final Year Project on ENCRYPTION & DECRYPTION of IMAGE through Triple DES.,AI
Android-Malware-Detection-Using-Machine-Learning,Android Malware Detection Using Machine Learning Project with Source Code and Documents Plus Video Explanation,Mobile
YOLOv3-Cloud-Based-Fire-Detection,"Custom Object detection using YOLOv3 on the cloud. It is trained to detect Fire in a given frame. It can be largely used for Wildfires, fire accidents, etc.",AI
Co2-Emission-Prediction-Using-Machine-Learning,Final year Co2 Emission Prediction Using Machine Learning Project with source code and documents. Btech Final Year Project,AI
fantasy-sports-prediction,We have used our skill of machine learning along with our passion for cricket to predict the performance of players in the upcoming matches using ML Algorithms like random-forest and XG Boost,AI
Codo-File,"Codo-File is a code editor that primarily supports JavaScript and Python, with partial Dart support. Additionally, it features a real-time website editor where you can create your own website in the browser using HTML, CSS, and JavaScript. The project also includes an image-to-text feature and a voice-to-text feature .",AI
Intruder-Detection-and-Automatic-Email-Alerting-system,Using OpenCV and face_recognition to detect unknown faces and send automatic email alert to the admin,AI
Fake-News-Detection-using-machine-learning,"Full stack Fake News Detection using machine learning Project Includes Source Code, PPT, Synopsis, Report, Documents, Base Research Paper & Video tutorials",AI
image_caption_generator,"An Image captioning web application combines the power of React.js for front-end, Flask and Node.js for back-end, utilizing the MERN stack. Users can upload images and instantly receive automatic captions. Authenticated users have access to extra features like translating captions and text-to-speech functionality.",AI
B.tech-Project-Rainfall-Predication-in-India,Rainfall Prediction using Machine Learning. India Rainfall Prediction for 115 years.  Rainfall Project with Code and Documents,AI
AI-MedLab,"AI-based medical laboratory is a project that aims to use artificial intelligence (AI), machine learning (ML) to improve the quality and efficiency of laboratory medicine. There are three modules like customer or local person, doctor and lab assistant. This project we built in MERN Stack.",AI
YOLOv3-Object-Tracking,"Object tracking with YOLOv3, YOLOv3-tiny, Deep Sort and Tensorflow. This repository implements YOLOv3 and Deep SORT in order to perfrom real-time object tracking.",AI
Eco-fertilization,Nutrient Value Recommendation System for crops w.r.t rainfall patterns embedded with rainfall prediction system.,IoT
Heart-disease-prediction-system-Project,Heart disease prediction system Project using Machine Learning with Code and Report,AI
UPI-Fraud-Detection-Using-Machine-Learning,UPI Fraud Detection Using Machine Learning with Source Code and documents,AI
10-Deep-Learning-Final-Year-Project-Ideas-Deep-learning-final-year-projects-with-source-code,"Deep learning final year projects offer students the opportunity to explore the latest advancements in artificial intelligence and apply them to real-world problems. One project idea is developing a Deep Learning-Based Image Classification System, which uses convolutional neural networks (CNNs) to classify images into different categories.",AI
Genetic-Algorithms-for-Swarm-Parameter-Tuning,"Swarming behaviour is based on aggregation of simple drones exhibiting basic instinctive reactions to stimuli. However, to achieve overall balanced/interesting behaviour the relative importance of these instincts, as well their internal parameters, must be tuned. In this project, you will learn how to apply Genetic Programming as means of such tuning, and attempt to achieve a series of non-trivial swarm-level behaviours.",Mobile
Malaria-Identification-System,Malaria Identification System Using Deep Learning,AI
spot_hub,"Spot Hub is a mobile application that provides personalized food and hotel recommendations based on user preferences and location. The app also allows businesses to create profiles and promote their products, providing users with a comprehensive guide to local dining and hospitality options.",Mobile
FYP,android application use for your personal budget management system,Mobile
smartkisan,FYP project for colleague of mine in Python/Django. Fully working website with customized django admin panel.,Mobile
learn-managment-system-mern,"""LMS Learn"" is a full-featured Learning Management System (LMS) built using the MERN stack (MongoDB, Express, React, Node.js). It provides an intuitive platform for managing courses, students, and instructors, offering seamless user authentication, course enrollment, and progress tracking. 🚀",Mobile
15-Machine-Learning-Projects-For-Final-Year-AI-ML-projects-for-final-year-with-Source-Code,"Machine learning projects offer final-year students the opportunity to apply theoretical concepts to real-world problems. Projects include Home Value Prediction , where students develop a model to predict house prices based on factors like average income and crime rate.",AI
10-advance-machine-learning-projects-with-source-code-ML-projects-with-source-code,"Advanced machine learning projects offer a challenging and rewarding experience, allowing developers to apply theoretical concepts to real-world problems. One project idea is developing a Deep Learning-Based Image Classification System , which uses convolutional neural networks (CNNs) to classify images into different categories.",AI
15-advance-AI-Projects-for-Final-Year-Machine-Learning-Projects-for-Final-Year-with-Source-Code,"Advanced AI projects for final year students offer a challenging and rewarding experience, allowing them to apply theoretical concepts to real-world problems. One project idea is developing a Deep Learning-Based Medical Diagnosis System , which uses convolutional neural networks (CNNs) to analyze medical images and diagnose diseases.",AI
Artificial-Intelligence-FYP-project-ideas-Artificial-Intelligence-advance-Project-Ideas-AI-FYP,Artificial Intelligence (AI) final year projects offer students the opportunity to explore the latest advancements in AI and apply them to real-world problems. One project idea is developing a Sentiment Analysis Tool that uses natural language processing (NLP) and machine learning algorithms to analyze text data and predict sentiment,AI
20-Artificial-Intelligence-FYP-project-ideas-Artificial-Intelligence-advance-Project-Ideas,"Artificial Intelligence (AI) final year projects offer students the opportunity to explore the latest advancements in AI and apply them to real-world problems. Project ideas include developing a Deep Learning-Based Medical Diagnosis System , a Natural Language Processing (NLP) Based Chatbot",AI
50-machine-learning-projects-with-source-code-advanced-machine-learning-projects-with-Source-Code,"Here are some exciting machine learning projects with source code that you can explore. Beginner-Friendly Projects include Home Value Prediction , where you'll build a model to predict house prices based on factors like average income and crime rate",AI
30-Final-Year-Projects-for-Computer-Science-major-projects-for-cse-final-year-students-with-code-,"Final year projects are a crucial part of the computer science curriculum, allowing students to apply theoretical concepts to real-world problems. For computer science students, project ideas include developing a Chatbot Using Natural Language Processing",AI
Machine-Learning-projects-for-final-year-Machine-Learning-Final-Year-Project-Ideas,"Machine learning final year projects offer students the opportunity to explore the latest advancements in artificial intelligence and apply them to real-world problems. One popular project idea is developing a ""Handwritten Character Recognition System"" using convolutional neural networks (CNNs) and deep learning techniques.",AI
adaTanam,"Final Year Project (E-Market for Small Scale Farmers): Cloud-hosted web-based e-commerce platform using React, Spring Boot and deployed to various Azure services.",Mobile
Ecommerce-Store-Forever-MERN,"A full-stack e-commerce application with a React.js frontend (user and admin panels) and a Node.js/Express.js backend, featuring product management, shopping cart, order processing (Stripe/COD), and user authentication. MongoDB is used for data storage.",Mobile
reviews-classifier,"This is my final year project ""customer reviews classification and analysis system using data mining and nlp"". It analyzes and then classifies the customer reviews on the basis of their fakeness, sentiments, contexts and topics discussed. The reviews are taken from various e-commerce platforms like daraz and amazon.",AI
30-Days-Of-JavaScript,"30 days of JavaScript programming challenge is a step-by-step guide to learn JavaScript programming language in 30 days. This challenge may take more than 100 days,  please just follow your own pace. These videos may help too: https://www.youtube.com/channel/UC7PNRuno1rzYPb1xLa4yktw",Mobile
reactjs-interview-questions,List of top 500 ReactJS Interview Questions & Answers....Coding exercise questions are coming soon!!,Mobile
bert,TensorFlow code and pre-trained models for BERT,AI
pytorch-image-models,"The largest collection of PyTorch image encoders / backbones. Including train, eval, inference, export scripts, and pretrained weights -- ResNet, ResNeXT, EfficientNet, NFNet, Vision Transformer (ViT), MobileNetV4, MobileNet-V3 & V2, RegNet, DPN, CSPNet, Swin Transformer, MaxViT, CoAtNet, ConvNeXt, and more",AI
tuning_playbook,A playbook for systematically maximizing the performance of deep learning models.,AI
javascript-interview-questions,List of 1000 JavaScript Interview Questions,Mobile
eslint,Find and fix problems in your JavaScript code.,Mobile
Mask_RCNN,Mask R-CNN for object detection and instance segmentation on Keras and TensorFlow,AI
vit-pytorch,"Implementation of Vision Transformer, a simple way to achieve SOTA in vision classification with only a single transformer encoder, in Pytorch",AI
xbmc,"Kodi is an award-winning free and open source home theater/media center software and entertainment hub for digital media. With its beautiful interface and powerful skinning engine, it's available for Android, BSD, Linux, macOS, iOS, tvOS and Windows.",Mobile
spellbook-of-modern-webdev,"A Big Picture, Thesaurus, and Taxonomy of Modern JavaScript Web Development",Mobile
pytorch-deep-learning,Materials for the Learn PyTorch for Deep Learning: Zero to Mastery course.,AI
tiny11builder,Scripts to build a trimmed-down Windows 11 image.,AI
RWKV-LM,"RWKV (pronounced RwaKuv) is an RNN with great LLM performance, which can also be directly trained like a GPT transformer (parallelizable). We are at RWKV-7 ""Goose"". So it's combining the best of RNN and transformer - great performance, linear time, constant space (no kv-cache), fast training, infinite ctx_len, and free sentence embedding.",AI
DALLE2-pytorch,"Implementation of DALL-E 2, OpenAI's updated text-to-image synthesis neural network,  in Pytorch",AI
stylegan2,StyleGAN2 - Official TensorFlow Implementation,AI
segmentation_models.pytorch,Semantic segmentation models with 500+ pretrained convolutional and transformer-based backbones.,AI
grype,A vulnerability scanner for container images and filesystems,AI
unmaintainable-code,"A more maintainable, easier to share version of the infamous http://mindprod.com/jgloss/unmain.html",Mobile
tpot,A Python Automated Machine Learning tool that optimizes machine learning pipelines using genetic programming.,AI
GroundingDINO,"[ECCV 2024] Official implementation of the paper ""Grounding DINO: Marrying DINO with Grounded Pre-Training for Open-Set Object Detection""",AI
Pikaday,"A refreshing JavaScript Datepicker — lightweight, no dependencies, modular CSS",Mobile
gocv,"Go package for computer vision using OpenCV 4 and beyond. Includes support for DNN, CUDA, OpenCV Contrib, and OpenVINO.",AI
DevOps-Bash-tools,"1000+ DevOps Bash Scripts - AWS, GCP, Kubernetes, Docker, CI/CD, APIs, SQL, PostgreSQL, MySQL, Hive, Impala, Kafka, Hadoop, Jenkins, GitHub, GitLab, BitBucket, Azure DevOps, TeamCity, Spotify, MP3, LDAP, Code/Build Linting, pkg mgmt for Linux, Mac, Python, Perl, Ruby, NodeJS, Golang, Advanced dotfiles: .bashrc, .vimrc, .gitconfig, .screenrc, tmux..",Mobile
machine-learning-course,:speech_balloon: Machine Learning Course with Python:,AI
nmt,TensorFlow Neural Machine Translation Tutorial,AI
pytorch-metric-learning,"The easiest way to use deep metric learning in your application. Modular, flexible, and extensible. Written in PyTorch.",AI
t81_558_deep_learning,T81-558: Keras - Applications of Deep Neural Networks @Washington University in St. Louis,AI
rfcs,RFCs for changes to React,Mobile
DALLE-pytorch,"Implementation / replication of DALL-E, OpenAI's Text to Image Transformer, in Pytorch",AI
doctr,"docTR (Document Text Recognition) - a seamless, high-performing & accessible library for OCR-related tasks powered by Deep Learning.",AI
awesome-css,:art: A curated contents of amazing CSS :),Mobile
The-Forge,"The Forge Cross-Platform Framework PC Windows, Steamdeck (native), Ray Tracing, macOS / iOS, Android, XBOX, PS4, PS5, Switch, Quest 2",Mobile
SUPIR,SUPIR aims at developing Practical Algorithms for Photo-Realistic Image Restoration In the Wild. Our new online demo is also released at suppixel.ai.,AI
Pluto.jl,🎈 Simple reactive notebooks for Julia,Mobile
semantic-segmentation-pytorch,Pytorch implementation for Semantic Segmentation/Scene Parsing on MIT ADE20K dataset,AI
awesome-reverse-engineering,Reverse Engineering Resources About All Platforms(Windows/Linux/macOS/Android/iOS/IoT) And Every Aspect! (More than 3500 open source tools and 2300 posts&videos),IoT
cookiecutter-flask,"A flask template with Bootstrap, asset bundling+minification with webpack, starter templates, and registration/authentication. For use with cookiecutter.",Mobile
MaterialDateTimePicker,Pick a date or time on Android in style,Mobile
Reinforcement-Learning,Learn Deep Reinforcement Learning in 60 days! Lectures & Code in Python. Reinforcement Learning + Deep Learning,AI
Person_reID_baseline_pytorch,":bouncing_ball_person: Pytorch ReID: A tiny, friendly, strong pytorch implement of person re-id / vehicle re-id baseline. Tutorial 👉https://github.com/layumi/Person_reID_baseline_pytorch/tree/master/tutorial",AI
grobid,A machine learning software for extracting information from scholarly documents,AI
EconML,"ALICE (Automated Learning and Intelligence for Causation and Economics) is a Microsoft Research project aimed at applying Artificial Intelligence concepts to economic decision making. One of its  goals is to build a toolkit that combines state-of-the-art machine learning techniques with econometrics in order to bring automation to complex causal inference problems. To date, the ALICE Python SDK (econml) implements orthogonal machine learning algorithms such as the double machine learning work of Chernozhukov et al. This toolkit is designed to measure the causal effect of some treatment variabl",AI
Dollar,A functional tool-belt for Swift Language similar to Lo-Dash or Underscore.js in Javascript,Mobile
HunyuanDiT,Hunyuan-DiT : A Powerful Multi-Resolution Diffusion Transformer with Fine-Grained Chinese Understanding,AI
awesome-machine-learning-interpretability,A curated list of awesome responsible machine learning resources.,AI
stylegan2-pytorch,"Simplest working implementation of Stylegan2, state of the art generative adversarial network, in Pytorch. Enabling everyone to experience disentanglement",AI
Deformable-DETR,Deformable DETR: Deformable Transformers for End-to-End Object Detection.,AI
hallo2,[ICLR 2025] Hallo2: Long-Duration and High-Resolution Audio-driven Portrait Image Animation,AI
rrule,JavaScript library for working with recurrence rules for calendar dates as defined in the iCalendar RFC and more.,Mobile
XLeRobot,XLeRobot: Practical Dual-Arm Mobile Home Robot for $660,Mobile
